phase;dataset;alignment;fusion;lr;val_acc_mean;best_fold_acc;val_inference_ms_per_sample;test_acc;test_inference_ms_per_sample;note
C-tierA;adresso;word_token;bicross;2e-5;0,847883;0,939394;0,5936;0,788732;;reused_stepB
C-tierA;adresso;word_token;mamba;2e-5;0,884436;0,969697;0,9591;0,830986;;reused_stepB
C-tierA;amyloid;word_token;bicross;2e-5;0,851306;0,909091;0,4741;;;reused_stepB
C-tierA;amyloid;word_token;mamba;2e-5;0,808501;0,838710;0,5995;;;reused_stepB
C-tierA;ppa;word_token;bicross;2e-5;0,697355;0,769231;0,6361;;;reused_stepB
C-tierA;ppa;word_token;mamba;2e-5;0,707598;0,750000;0,4534;;;reused_stepB
C-tierA;adresso;token_token_uniform;bicross;2e-5;0,841823;0,939394;0,8858;0,760563;1,6520;
C-tierA;amyloid;token_token_uniform;bicross;2e-5;0,851306;0,909091;0,4748;;;
C-tierA;ppa;token_token_uniform;bicross;2e-5;0,697355;0,769231;0,7870;;;
C-tierA;adresso;token_token_uniform;mamba;2e-5;0,872504;0,969697;0,6420;0,802817;1,1766;
C-tierA;amyloid;token_token_uniform;mamba;2e-5;0,833693;0,903226;0,3364;;;
C-tierA;ppa;token_token_uniform;mamba;2e-5;0,602311;0,717949;0,2596;;;
C-tierA;adresso;token_token_char;bicross;2e-5;0,847883;0,939394;0,5960;0,788732;1,1909;
C-tierA;amyloid;token_token_char;bicross;2e-5;0,857188;0,909091;1,4450;;;
C-tierA;ppa;token_token_char;bicross;2e-5;0,697355;0,769231;0,6526;;;
C-tierA;adresso;token_token_char;mamba;2e-5;0,884626;0,969697;0,6475;0,830986;1,1629;
C-tierA;amyloid;token_token_char;mamba;2e-5;0,833693;0,903226;0,3258;;;
C-tierA;ppa;token_token_char;mamba;2e-5;0,597183;0,692308;0,3866;;;
