phase,model,dataset,alignment,wav2vec_layers,fusion,lr,val_acc_mean,best_fold_acc,val_inference_ms_per_sample,test_acc,test_inference_ms_per_sample,note
AlignWv,CogniAligned,adresso,word_token,final,bicross,2e-5,0.847883,0.939394,0.5936,0.788732,1.0408,reused_stepB
AlignWv,SER,adresso,segment_level,final,bicross,5e-5,,,,0.873239,238.0840,reused_wv_layer
AlignWv,CogniAligned,amyloid,word_token,final,bicross,2e-5,0.851306,0.909091,0.4741,,,reused_stepB
AlignWv,SER,amyloid,segment_level,final,bicross,5e-5,,,,,,reused_wv_layer
AlignWv,CogniAligned,ppa,word_token,final,bicross,2e-5,0.697355,0.769231,0.6361,,,reused_stepB
AlignWv,SER,ppa,segment_level,final,bicross,5e-5,,,,,,reused_wv_layer
AlignWv,CogniAligned,adresso,word_token,weighted,bicross,2e-5,0.884615,1.000000,0.6291,0.788732,1.0807,reused_wv_layer
AlignWv,SER,adresso,segment_level,weighted,bicross,5e-5,0.852100,0.925000,1.1843,0.746479,236.6199,reused_wv_layer
AlignWv,CogniAligned,amyloid,word_token,weighted,bicross,2e-5,0.807721,0.838710,0.4946,,,reused_wv_layer
AlignWv,SER,amyloid,segment_level,weighted,bicross,5e-5,0.660140,0.794100,1.1809,,,reused_wv_layer
AlignWv,CogniAligned,ppa,word_token,weighted,bicross,2e-5,0.710986,0.800000,0.4415,,,reused_wv_layer
AlignWv,SER,ppa,segment_level,weighted,bicross,5e-5,0.591720,0.750000,1.1751,,,reused_wv_layer
AlignWv,CogniAligned,adresso,token_token_uniform,final,bicross,2e-5,0.841823,0.939394,0.8858,0.760563,1.6520,reused_tierA
AlignWv,SER,adresso,segment_level,final,bicross,5e-5,,,,0.873239,238.0840,reused_wv_layer
AlignWv,CogniAligned,amyloid,token_token_uniform,final,bicross,2e-5,0.851306,0.909091,0.4748,,,reused_tierA
AlignWv,SER,amyloid,segment_level,final,bicross,5e-5,,,,,,reused_wv_layer
AlignWv,CogniAligned,ppa,token_token_uniform,final,bicross,2e-5,0.697355,0.769231,0.7870,,,reused_tierA
AlignWv,SER,ppa,segment_level,final,bicross,5e-5,,,,,,reused_wv_layer
AlignWv,CogniAligned,adresso,token_token_uniform,weighted,bicross,2e-5,0.872493,0.969697,0.6333,0.774648,1.0205,
AlignWv,SER,adresso,segment_level,weighted,bicross,5e-5,0.852100,0.925000,1.1843,0.746479,236.6199,reused_wv_layer
AlignWv,CogniAligned,amyloid,token_token_uniform,weighted,bicross,2e-5,0.801471,0.838710,0.4897,,,
AlignWv,SER,amyloid,segment_level,weighted,bicross,5e-5,0.660140,0.794100,1.1809,,,reused_wv_layer
AlignWv,CogniAligned,ppa,token_token_uniform,weighted,bicross,2e-5,0.773334,0.871795,0.4924,,,
AlignWv,SER,ppa,segment_level,weighted,bicross,5e-5,0.591720,0.750000,1.1751,,,reused_wv_layer
AlignWv,CogniAligned,adresso,token_token_char,final,bicross,2e-5,0.847883,0.939394,0.5960,0.788732,1.1909,reused_tierA
AlignWv,SER,adresso,segment_level,final,bicross,5e-5,,,,0.873239,238.0840,reused_wv_layer
AlignWv,CogniAligned,amyloid,token_token_char,final,bicross,2e-5,0.857188,0.909091,1.4450,,,reused_tierA
AlignWv,SER,amyloid,segment_level,final,bicross,5e-5,,,,,,reused_wv_layer
AlignWv,CogniAligned,ppa,token_token_char,final,bicross,2e-5,0.697355,0.769231,0.6526,,,reused_tierA
AlignWv,SER,ppa,segment_level,final,bicross,5e-5,,,,,,reused_wv_layer
AlignWv,CogniAligned,adresso,token_token_char,weighted,bicross,2e-5,0.872493,1.000000,0.6277,0.802817,1.1159,
AlignWv,SER,adresso,segment_level,weighted,bicross,5e-5,0.852100,0.925000,1.1843,0.746479,236.6199,reused_wv_layer
AlignWv,CogniAligned,amyloid,token_token_char,weighted,bicross,2e-5,0.813971,0.843750,0.4965,,,
AlignWv,SER,amyloid,segment_level,weighted,bicross,5e-5,0.660140,0.794100,1.1809,,,reused_wv_layer
AlignWv,CogniAligned,ppa,token_token_char,weighted,bicross,2e-5,0.758071,0.871795,0.4891,,,
AlignWv,SER,ppa,segment_level,weighted,bicross,5e-5,0.591720,0.750000,1.1751,,,reused_wv_layer
