phase,model,dataset,arch,ser_method,cog_fusion,n_heads,lr,total_params,trainable_params,val_acc_mean,best_fold_acc,val_inference_ms_per_sample,test_acc,test_inference_ms_per_sample,note
B,SER,adresso,selfattn,SelfAttention,,1,5e-5,611330,607746,0.824660,0.907400,0.8368,0.774648,232.4527,
B,CogniAligned,adresso,selfattn,,selfattn,1,2e-5,14417409,14417409,0.756963,0.882353,1.0646,0.802817,0.4845,
B,SER,amyloid,selfattn,SelfAttention,,1,5e-5,611330,607746,0.587040,0.676500,0.7787,,,
B,CogniAligned,amyloid,selfattn,,selfattn,1,2e-5,7688193,7688193,0.833124,0.870968,0.1351,,,
B,SER,ppa,selfattn,SelfAttention,,1,5e-5,611587,608003,0.590100,0.642900,0.8590,,,
B,CogniAligned,ppa,selfattn,,selfattn,1,2e-5,7285507,7285507,0.712855,0.743590,0.0723,,,
B,SER,adresso,mhselfattn,MultiHeadAttention,,4,5e-5,1660162,1656578,0.850560,0.907400,2.0025,0.774648,247.4979,
B,CogniAligned,adresso,mhselfattn,,mhselfattn,4,2e-5,14417409,14417409,0.756595,0.911765,0.0543,0.788732,0.3403,
B,SER,amyloid,mhselfattn,MultiHeadAttention,,4,5e-5,1660162,1656578,0.599640,0.705900,2.4801,,,
B,CogniAligned,amyloid,mhselfattn,,mhselfattn,4,2e-5,7688193,7688193,0.803009,0.870968,0.3092,,,
B,SER,ppa,mhselfattn,MultiHeadAttention,,4,5e-5,1660419,1656835,0.607600,0.666700,2.3969,,,
B,CogniAligned,ppa,mhselfattn,,mhselfattn,4,2e-5,7285507,7285507,0.697849,0.743590,0.0283,,,
B,SER,adresso,transformerpe,TransformerPosEnc,,4,5e-5,3762178,3758594,0.848220,0.888900,4.3480,0.774648,246.4525,
B,CogniAligned,adresso,transformerpe,,transformerpe,4,2e-5,47705601,47705601,0.830069,0.909091,1.6822,0.732394,1.9226,
B,SER,amyloid,transformerpe,TransformerPosEnc,,4,5e-5,3762178,3758594,0.580940,0.672400,4.2785,,,
B,CogniAligned,amyloid,transformerpe,,transformerpe,4,2e-5,19885569,19885569,0.808847,0.838710,0.5103,,,
B,SER,ppa,transformerpe,TransformerPosEnc,,4,5e-5,3762435,3758851,0.643780,0.738100,4.6735,,,
B,CogniAligned,ppa,transformerpe,,transformerpe,4,2e-5,19285507,19285507,0.682849,0.743590,0.4595,,,
B,SER,adresso,cross,CrossAttention,,4,5e-5,1660162,1656578,0.841300,0.888900,0.7490,0.774648,235.2820,
B,CogniAligned,adresso,cross,,cross,4,2e-5,21505281,21505281,0.866254,0.969697,0.3977,0.788732,1.2242,
B,SER,amyloid,cross,CrossAttention,,4,5e-5,1660162,1656578,0.589060,0.689700,0.8387,,,
B,CogniAligned,amyloid,cross,,cross,4,2e-5,8868609,8868609,0.839006,0.870968,0.4863,,,
B,SER,ppa,cross,CrossAttention,,4,5e-5,1660419,1656835,0.555740,0.642900,0.7492,,,
B,CogniAligned,ppa,cross,,cross,4,2e-5,8465923,8465923,0.707989,0.871795,0.2025,,,
B,SER,adresso,crossgated,GatedCrossAttention,,4,5e-5,1791490,1787906,0.825260,0.888900,1.2369,0.760563,234.7713,
B,CogniAligned,adresso,crossgated,,crossgated,4,2e-5,15597825,15597825,0.866065,0.969697,0.6410,0.816901,0.9687,
B,SER,amyloid,crossgated,GatedCrossAttention,,4,5e-5,1791490,1787906,0.633580,0.764700,1.0675,,,
B,CogniAligned,amyloid,crossgated,,crossgated,4,2e-5,8868609,8868609,0.832377,0.882353,0.2949,,,
B,SER,ppa,crossgated,GatedCrossAttention,,4,5e-5,1791747,1788163,0.611440,0.750000,1.0942,,,
B,CogniAligned,ppa,crossgated,,crossgated,4,2e-5,8465923,8465923,0.677720,0.769231,0.3683,,,
B,SER,adresso,bicross,BidirectionalCrossAttention,,4,5e-5,1660162,1656578,0.852100,0.925000,1.1843,0.746479,236.6199,
B,CogniAligned,adresso,bicross,,bicross,4,2e-5,21505281,21505281,0.847883,0.939394,0.5936,0.788732,1.0408,
B,SER,amyloid,bicross,BidirectionalCrossAttention,,4,5e-5,1660162,1656578,0.660140,0.794100,1.1809,,,
B,CogniAligned,amyloid,bicross,,bicross,4,2e-5,14776065,14776065,0.851306,0.909091,0.4741,,,
B,SER,ppa,bicross,BidirectionalCrossAttention,,4,5e-5,1660419,1656835,0.591720,0.750000,1.1751,,,
B,CogniAligned,ppa,bicross,,bicross,4,2e-5,14373379,14373379,0.697355,0.769231,0.6361,,,
B,SER,adresso,mamba,MambaSeqToSeq,,4,5e-5,2362370,2358786,0.836160,0.891300,1.8567,0.746479,240.1515,
B,CogniAligned,adresso,mamba,,mamba,4,2e-5,11100417,11100417,0.884436,0.969697,0.9591,0.830986,1.1442,
B,SER,amyloid,mamba,MambaSeqToSeq,,4,5e-5,2362370,2358786,0.672360,0.735300,1.8065,,,
B,CogniAligned,amyloid,mamba,,mamba,4,2e-5,4371201,4371201,0.808501,0.838710,0.5995,,,
B,SER,ppa,mamba,MambaSeqToSeq,,4,5e-5,2362627,2359043,0.571020,0.675000,1.8780,,,
B,CogniAligned,ppa,mamba,,mamba,4,2e-5,4022531,4022531,0.707598,0.750000,0.4534,,,
