phase;model;dataset;wav2vec_layers;fusion;lr;val_acc_mean;best_fold_acc;val_inference_ms_per_sample;test_acc;test_inference_ms_per_sample;note
WvLayer;CogniAligned;adresso;weighted;crossgated;2e-5;0,866243;1,000000;0,4559;0,774648;0,8920;
WvLayer;SER;adresso;weighted;crossgated;5e-5;0,825260;0,888900;1,2369;0,760563;234,7713;reused_stepB
WvLayer;CogniAligned;amyloid;weighted;crossgated;2e-5;0,818952;0,870968;0,5487;;;
WvLayer;SER;amyloid;weighted;crossgated;5e-5;0,633580;0,764700;1,0675;;;reused_stepB
WvLayer;CogniAligned;ppa;weighted;crossgated;2e-5;0,691255;0,736842;0,2676;;;
WvLayer;SER;ppa;weighted;crossgated;5e-5;0,611440;0,750000;1,0942;;;reused_stepB
WvLayer;CogniAligned;adresso;final;crossgated;2e-5;0,866065;0,969697;0,6410;0,816901;0,9687;reused_stepB
WvLayer;SER;adresso;final;crossgated;5e-5;;;;0,774648;155,5329;incomplete
WvLayer;CogniAligned;amyloid;final;crossgated;2e-5;0,832377;0,882353;0,2949;;;reused_stepB
WvLayer;SER;amyloid;final;crossgated;5e-5;;;;;;incomplete
WvLayer;CogniAligned;ppa;final;crossgated;2e-5;0,677720;0,769231;0,3683;;;reused_stepB
WvLayer;SER;ppa;final;crossgated;5e-5;;;;;;incomplete
WvLayer;CogniAligned;adresso;weighted;bicross;2e-5;0,884615;1,000000;0,6291;0,788732;1,0807;
WvLayer;SER;adresso;weighted;bicross;5e-5;0,852100;0,925000;1,1843;0,746479;236,6199;reused_stepB
WvLayer;CogniAligned;amyloid;weighted;bicross;2e-5;0,807721;0,838710;0,4946;;;
WvLayer;SER;amyloid;weighted;bicross;5e-5;0,660140;0,794100;1,1809;;;reused_stepB
WvLayer;CogniAligned;ppa;weighted;bicross;2e-5;0,710986;0,800000;0,4415;;;
WvLayer;SER;ppa;weighted;bicross;5e-5;0,591720;0,750000;1,1751;;;reused_stepB
WvLayer;CogniAligned;adresso;final;bicross;2e-5;0,847883;0,939394;0,5936;0,788732;1,0408;reused_stepB
WvLayer;SER;adresso;final;bicross;5e-5;;;;0,873239;238,0840;incomplete
WvLayer;CogniAligned;amyloid;final;bicross;2e-5;0,851306;0,909091;0,4741;;;reused_stepB
WvLayer;SER;amyloid;final;bicross;5e-5;;;;;;incomplete
WvLayer;CogniAligned;ppa;final;bicross;2e-5;0,697355;0,769231;0,6361;;;reused_stepB
WvLayer;SER;ppa;final;bicross;5e-5;;;;;;incomplete
WvLayer;CogniAligned;adresso;weighted;mamba;2e-5;0,890675;1,000000;0,7273;0,816901;1,1490;
WvLayer;SER;adresso;weighted;mamba;5e-5;0,836160;0,891300;1,8567;0,746479;240,1515;reused_stepB
WvLayer;CogniAligned;amyloid;weighted;mamba;2e-5;0,801439;0,852941;0,5549;;;
WvLayer;SER;amyloid;weighted;mamba;5e-5;0,672360;0,735300;1,8065;;;reused_stepB
WvLayer;CogniAligned;ppa;weighted;mamba;2e-5;0,685851;0,769231;0,3442;;;
WvLayer;SER;ppa;weighted;mamba;5e-5;0,571020;0,675000;1,8780;;;reused_stepB
WvLayer;CogniAligned;adresso;final;mamba;2e-5;0,884436;0,969697;0,9591;0,830986;1,1442;reused_stepB
WvLayer;SER;adresso;final;mamba;5e-5;;;;0,760563;239,2844;incomplete
WvLayer;CogniAligned;amyloid;final;mamba;2e-5;0,808501;0,838710;0,5995;;;reused_stepB
WvLayer;SER;amyloid;final;mamba;5e-5;;;;;;incomplete
WvLayer;CogniAligned;ppa;final;mamba;2e-5;0,707598;0,750000;0,4534;;;reused_stepB
WvLayer;SER;ppa;final;mamba;5e-5;;;;;;incomplete
